name,ring,quadrant,isNew,description
Kotlin,Adopt,Programming Languages & Frameworks,,
Java,Adopt,Programming Languages & Frameworks,,
Angular,Adopt,Programming Languages & Frameworks,,
Bash/sh,Adopt,Programming Languages & Frameworks,,
Gatling,Adopt,Programming Languages & Frameworks,,
Spring,Adopt,Programming Languages & Frameworks,,
JUnit5,Adopt,Programming Languages & Frameworks,,
Kafka,Adopt,Platforms,,
kotest,Adopt,Programming Languages & Frameworks,,
cypress,Trial,Programming Languages & Frameworks,,
Selenide,Trial,Programming Languages & Frameworks,,
Hibernate,Access,Programming Languages & Frameworks,,
mockserver,Access,Programming Languages & Frameworks,,
RestAssured,Hold,Programming Languages & Frameworks,,
webdriver.io,Hold,Programming Languages & Frameworks,,
Gitlab CI,Adopt,Tools,,
Docker,Adopt,Platforms,,
Portainer,Adopt,Tools,,
Maven,Adopt,Tools,,
Jenkins,Adopt,Tools,,
Swagger,Adopt,Tools,,
Allure testOps,Adopt,Tools,,
Git,Adopt,Tools,,
Postman,Adopt,Tools,,
Jira,Adopt,Tools,,
Grafana,Adopt,Tools,,
Kibana,Adopt,Tools,,
Confluence,Adopt,Tools,,
Soap UI,Hold,Tools,,
Stash (BitBucket),Hold,Tools,,
Chrome Devtools,Adopt,Tools,,
Figma,Adopt,Tools,,
Fiddler,Trial,Tools,,
Jmeter,Access,Tools,,
k8s,Trial,Platforms,,
gRPC,Trial,Platforms,,
Nginx,Adopt,Platforms,,
Oracle,Hold,Platforms,,
Postgre,Adopt,Platforms,,
Load testing,Trial,Techniques,,
Microservice,Adopt,Techniques,,
Smoke testing,Adopt,Techniques,,
Scrum board,Adopt,Techniques,,
Test cases as a code,Trial,Techniques,,
3 amigo,Trial,Techniques,,
Code/test cases review,Adopt,Techniques,,
Shift Left Testing,Trial,Techniques,,
Grooming,Access,Techniques,,
Planning,Adopt,Techniques,,
Retrospective,Adopt,Techniques,,
Sprint Demo,Access,Techniques,,
